projectname,classification,commenttext
Dubbo,DESIGN,'/*  * This class represents an unfinished RPC call it will hold some context information for this call for example RpcContext and Invocation * so that when the call finishes and the result returns it can guarantee all the contexts being recovered as the same as when the call was made * before any callback is invoked. * <p> * TODO if it\'s reasonable or even right to keep a reference to Invocation? * <p> * As {@link Result} implements CompletionStage {@link AsyncRpcResult} allows you to easily build a async filter chain whose status will be * driven entirely by the state of the underlying RPC call. * <p> * AsyncRpcResult does not contain any concrete value (except the underlying value bring by CompletableFuture) consider it as a status transfer node. * {@link #getValue()} and {@link #getException()} are all inherited from {@link Result} interface implementing them are mainly * for compatibility consideration. Because many legacy {@link Filter} implementation are most possibly to call getValue directly.  */'
Dubbo,DESIGN,'//  FIXME should put exception in future? '
Dubbo,DESIGN,'//  DUBBO-571 methods key in provider\'s URLONE doesn\'t contain the methods from inherited super interface '
Dubbo,IMPLEMENTATION,'/*  * ContextFilterTest.java * TODO need to enhance assertion  */'
Dubbo,DESIGN,'//  FIXME: this code looks useless '
Dubbo,DESIGN,'//  TODO due to dubbo\'s current architecture   it will be called from registry protocol in the shutdown process and won\'t appear in logs '
Dubbo,DESIGN,'//  TODO can we load successfully for a different classloader?. '
Dubbo,DEFECT,'// The status input has a problem and the read information is wrong when the serialization is serialized. '
Dubbo,DESIGN,'//  FIXME: not sure why AbstractReferenceConfig has both isGeneric and getGeneric '
Dubbo,DEFECT,'//  FIXME result is an AsyncRpcResult instance. '
Dubbo,DESIGN,'//  FIXME should cancel and restart timer tasks if parameters in the new URL are different? '
Dubbo,IMPLEMENTATION,'/*  * TODO Extract more code here if necessary  */'
Dubbo,DESIGN,'//  FIXME RMI protocol doesn\'t support casting to EchoService yet. '
Dubbo,DESIGN,'//  dubbo\'s original impl can\'t support the use of ServletContext          server.addHandler(servletHandler); '
Dubbo,DESIGN,'//  Deprecated! Subscribe to override rules in 2.6.x or before. '
Dubbo,DESIGN,'//  Subscribe the override data   FIXME When the provider subscribes it will affect the scene : a certain JVM exposes the service and call    the same service. Because the subscribed is cached key with the name of the service it causes the '
Dubbo,DESIGN,'/*      * Should be called after Config was fully initialized.     * // FIXME: this method should be completely replaced by appendParameters     *     * @return     * @see AbstractConfig#appendParameters(Map Object String)     * <p>     * Notice! This method should include all properties in the returning map treat @Parameter differently compared to appendParameters.      */'
Dubbo,DESIGN,'// TODO Can the value returned by getChannel() be null? need improvement. '
Dubbo,IMPLEMENTATION,'//  TODO to support wildcards '
Dubbo,DEFECT,'//  FIXME: cannot guarantee the sequence of the merge result check implementation in   MergeableClusterInvoker#invoke '
Dubbo,DEFECT,'//  FIXME Is there any need of failing back to Constants.ANY_VALUE or the first available method invokers when invokers is null? '
Dubbo,IMPLEMENTATION,'//  TODO more configs to add '
Dubbo,DEFECT,'//  BuG: DUBBO-146 Provider doesn\'t have exception output and consumer has timeout error when serialization fails'
Dubbo,DESIGN,'//  FIXME There\'s no place to release connectionExecutor! '
Dubbo,DESIGN,'//  TODO: refactor it '
Dubbo,DESIGN,'/*  * TODO this may not be a pretty elegant solution *  */'
Dubbo,IMPLEMENTATION,'//  FIXME log error info in Codec and put all error handle logic in IoHanndler? '
Dubbo,DESIGN,'//  can\'t shutdown nioEventLoopGroup because the method will be invoked when closing one channel but not a client   but when and how to close the nioEventLoopGroup ?   nioEventLoopGroup.shutdownGracefully(); '
Dubbo,DESIGN,'/*  * FIXME: is this really necessary? PropertiesConfiguration should have already covered this: * @see PropertiesConfiguration * @See ConfigUtils#getProperty(String)  */'
Dubbo,DESIGN,'/*      * the resident routers must being initialized before address notification.     * FIXME: this method should not be public      */'
Dubbo,DESIGN,'//  TODO there may have duplicate refresh '
Dubbo,DESIGN,'// fixme replace this with better method '
Dubbo,DESIGN,'//  TODO for now we don\'t consider the differences of encoding and server limit '
Dubbo,DESIGN,'/*      * FIXME check @Parameter(required=true) and any conditions that need to match.      */'
Dubbo,DESIGN,'/*           RMI needs extra parameter since it uses customized remote invocation object          The customized RemoteInvocation was firstly introduced in v2.6.3; The package was renamed to \'org.apache.*\' since v2.7.0          Considering the above two conditions we need to check before sending customized RemoteInvocation:          1. if the provider version is v2.7.0 or higher send \'org.apache.dubbo.rpc.protocol.rmi.RmiRemoteInvocation\'.          2. if the provider version is v2.6.3 or higher send \'com.alibaba.dubbo.rpc.protocol.rmi.RmiRemoteInvocation\'.          3. if the provider version is lower than v2.6.3 does not use customized RemoteInvocation.          */'
Dubbo,IMPLEMENTATION,'//  TODO exist concurrent gap '
Dubbo,DESIGN,'//  TODO: 2017/8/31 FIXME The thread pool should be used to refresh the address otherwise the task may be accumulated. '
Dubbo,DESIGN,'/*      * If there\'s no dynamic tag rule being set use static tag in URL.     * <p>     * A typical scenario is a Consumer using version 2.7.x calls Providers using version 2.6.x or lower     * the Consumer should always respect the tag in provider URL regardless of whether a dynamic tag rule has been set to it or not.     * <p>     * TODO to guarantee consistent behavior of interoperability between 2.6- and 2.7+ this method should has the same logic with the TagRouter in 2.6.x.     *     * @param invokers     * @param url     * @param invocation     * @param <T>     * @return      */'
Gradle,DESIGN,'//  TODO this should not be using the default charset because it\'s not an input and might introduce flakiness '
Gradle,IMPLEMENTATION,'//  TODO Make this work with pending elements'
Gradle,DESIGN,'/*  * The DSL for declaring plugins to inject into an included build. * * TODO: Plugins need to be located in this build\'s buildSrc. * * @since 4.6  */'
Gradle,DESIGN,'//  TODO some kind of context of why the method was attached (e.g. which plugin declared the rule)   TODO some kind of instance state for the method (might be the same as context above) '
Gradle,IMPLEMENTATION,'//  TODO: Need to track version/implementation of symbol strip tool. '
Gradle,DESIGN,'// TODO move to base-services once the ProgressLogger dependency is removed'
Gradle,DESIGN,'//  Return a dummy implementation of this as creating a real hasher drags ~20 more services   along with it and a hasher isn\'t actually needed on the worker process side at the moment. '
Gradle,DESIGN,'//  there\'s a risk for some methods that the hash is always   recomputed but it won\'t be worse than before '
Gradle,DESIGN,'//  This isn\'t quite right. Should close the worker classpath cache once we\'re finished with the worker processes. This may be before the end of this build   or they may be used across multiple builds '
Gradle,DESIGN,'//  TODO Need a better mechanism to wire tasks into lifecycle '
Gradle,DESIGN,'//  TODO:Cedric This is not quite right. We assume that if we are asking for a specific binary then we resolve to the assembly instead   of the jar but it should be somehow parameterized '
Gradle,DESIGN,'//  Ensure that at most one action that may have access to the mutable state of the build runs at a given time   TODO - move this to a better home and reuse '
Gradle,DESIGN,'//  TODO(ew): inject BuildOperationIdentifierRegistry instead of static use'
Gradle,DESIGN,'//  TODO:HH Use managed views for this only applied when the respective language is applied'
Gradle,DESIGN,'//  TODO: There has to be a simpler way to do this.   We want to create a buildable filecollection based on a filtered view of selected source directory sets '
Gradle,DESIGN,'//  Passing null for sha1 - TODO - consider using the etag which is an MD5 hash of the file (when less than 5Gb) '
Gradle,DESIGN,'//  TODO:ADAM - need to do this earlier '
Gradle,DESIGN,'//  TODO - exception when no default type '
Gradle,DESIGN,'//  Don\'t force evaluation of rules here let the task container do what it needs to'
Gradle,DESIGN,'//  result is a scala.util.Either   right is a Seq of files that were generated   left is routes compilation errors   TODO: It might be nice to pass along these errors in some way '
Gradle,DESIGN,'//  TODO deleteOnExit won\'t clean up non-empty directories (and it leaks memory for long-running processes). '
Gradle,DESIGN,'/*  * Meta-info about a Java component. * * TODO - this is some legacy stuff to be merged into other component interfaces  */'
Gradle,IMPLEMENTATION,'//  TODO: Need to track version/implementation of symbol extraction tool. '
Gradle,DESIGN,'//  TODO: This should be modeled differently perhaps as a dependency on the implementation configuration '
Gradle,DESIGN,"'//  This is not super nice but dependencies are created through reflection for decoration   and assume a constructor with 3 arguments (Group Name Version) which is suitable for   most cases. We could create an empty attribute set directly in the AbstractDependencyImpl   but then it wouldn\'t be mutable. Therefore we proceed with \""late injection\"" of the attributes '"
Gradle,DESIGN,'//  TODO(ew): Consider whether this belongs in Console or here'
Gradle,DESIGN,'//  TODO - should split this up so that the inputs are attached to an object that represents the binary which is then later used to configure the link/assemble tasks '
Gradle,DESIGN,'//  we need to wrap this into a loop because there\'s always a risk   that the method which is weakly referenced has been collected   in between the creation time and now '
Gradle,DESIGN,'//  TODO(daniel): Should support in a better way multi file invocation. '
Gradle,DEFECT,'//  It\'s true right now that this is always coming from the TestKit but might not be in the future.'
Gradle,DESIGN,'//  TODO - don\'t select again here as the selection is already performed to select the toolchain '
Gradle,DOCUMENTATION,'//  TODO include link to documentation giving more explanation of what\'s going on here. '
Gradle,IMPLEMENTATION,'//  TODO: Migrate this away from here '
Gradle,DESIGN,'//  This looks ugly very ugly but that is apparently what Ant does itself '
Gradle,DESIGN,'//  TODO - should be incremental '
Gradle,DESIGN,'//  TODO: this is terrible '
Gradle,DESIGN,'//  TODO: This should actually be a Routable message with a single handler   but we need some way to correlate a given request with a specific response channel '
Gradle,IMPLEMENTATION,'//  TODO - this is pretty nasty look at avoiding using a time bomb stub here '
Gradle,DESIGN,'// TODO:rbo Change the parameter type to `Transformer<String @Nullable String>` once we migrate to Java 8'
Gradle,IMPLEMENTATION,'// TODO - make this work on windows  originalIn.close();'
Gradle,DESIGN,'//  TODO better exception type '
Gradle,DESIGN,'//  Note: This would be better housed in a scope that encapsulated the tree of Gradle objects. '
Gradle,DESIGN,'/*  * A {@link org.gradle.api.file.ConfigurableFileCollection} that can be used as a task input property. Caches the matching set of files during task execution and discards the result after task execution. * * TODO - disallow further changes to this collection once task has started * TODO - keep the file entries to snapshot later to avoid a stat on each file during snapshot  */'
Gradle,DESIGN,'//  TODO This class DefaultBuildOperationQueue and ExecutionPlan have many of the same   behavior and concerns - we should look for a way to generalize this pattern. '
Gradle,DESIGN,'// TODO:instant-execution: remove this '
Gradle,DESIGN,'//  Can only set once: should really be part of the constructor   Can only set once: should really be part of the constructor'
Gradle,DESIGN,'//  This isn\'t quite right as we may lose precision when converting to a double '
Gradle,DEFECT,'//  decimalFormat is not thread safe - synchronize access to the instance '
Gradle,DESIGN,'//  TODO - wire this stuff in properly '
Gradle,DESIGN,'//  TODO:ADAM - need to cleanup completion too if not used '
Gradle,IMPLEMENTATION,'//  TODO: Need to check for proper type/cast '
Gradle,DESIGN,'//  TODO - should use a resolver so that this method is consistent with Project.uri(string) '
Gradle,DESIGN,'//  TODO wolfs - schedule fingerprinting separately it can be done without having the project lock '
Gradle,DESIGN,'//  Note: don\'t actually remove this in 6.0 the deprecation is here to encourage people to use ObjectFactory instead. Just remove the overload and the nag and leave the method here'
Gradle,DESIGN,"'//  todo: consider multithreading/multiprocess issues   Teamcity has the concept of a \""wave\"" of messages   where each thread/process uses a unique wave id '"
Gradle,DESIGN,'//  TODO - reduce duplication with Swift binary '
Gradle,DESIGN,'// TODO: move bootclasspath to platform '
Gradle,DESIGN,'//  TODO: This should be modeled as a source set '
Gradle,DESIGN,'//  TODO - the project model should be reachable from ProjectState without another lookup '
Gradle,IMPLEMENTATION,'//  TODO: Locate this tool from a tool provider   hide main symbol '
Gradle,DESIGN,'//  TODO: This prefix shouldn\'t be hardcoded '
Gradle,DESIGN,'//  TODO:LPTR Remove projection for reference node   This shouldn\'t be needed but if there\'s no actual value referenced model report can only   show the type of the node if we do this for now. It should use the schema instead to find   the type of the property node instead. '
Gradle,DESIGN,"'//  TODO:ADAM - switch the logging back on. Need to make sending messages from daemon to client async wrt log event generation                  LOGGER.debug(\""Ignoring failure to extract throwable stack trace.\"" ignored); '"
Gradle,IMPLEMENTATION,'//  TODO: Need failure handling e.g. cannot clone repository '
Gradle,DESIGN,'//  TODO This should actually compare a SortedSet '
Gradle,IMPLEMENTATION,'//  TODO - validate that it\'s a valid model path '
Gradle,IMPLEMENTATION,'//  The visual C++ tools use the path to find other executables   TODO:ADAM - restrict this to the specific path for the target tool '
Gradle,DESIGN,'//  TODO:pm Move this to WARN level once we fixed maven-publish see gradle/gradle#1662 '
Gradle,DESIGN,'//  TODO:ADAM - This isn\'t quite right   MB: I think ^ refers to the first capable classloader loading the class. This could be different   from the loader which originally loaded it which could pose equality and lifecycle issues. '
Gradle,DESIGN,"'//  TODO:Cedric This is an approximation: when a component wants to compile against the assembly of   a library (not the jar) then we should give it the *stubbed classes* instead of the raw classes. However:   - there\'s no such thing as a \""stubbed classes assembly\""   - for performance reasons only the classes that belong to the API are stubbed so we would miss the classes that do not belong to the API   So this makes the UsageKind.API misleading (should this be COMPILE?).'"
Gradle,DESIGN,'/*  * An _immutable_ view of the variant of a component. * * TODO - this should replace or merge into VariantResolveMetadata OutgoingVariant ConfigurationMetadata  */'
Gradle,DESIGN,"'//  because it\'s a capability conflict resolution there is only one candidate per module identifier   so we can be lenient wrt the version number used in the descriptor which helps whenever the user   used the convenience \""notation\"" method '"
Gradle,DESIGN,'//  TODO improve lookup by reusing AvailableJavaHomes testfixture   for now we play it safe and just return false; '
Gradle,DESIGN,'//  TODO - should decorate '
Gradle,DESIGN,'//  TODO removing this stuff from the store should be handled through some sort of decoration '
Gradle,DEFECT,'//  TODO: fix the way we work out which exception is important: TaskExecutionException is not always the most helpful'
Gradle,IMPLEMENTATION,'//  TODO: do we need any factories here? '
Gradle,DESIGN,'//  TODO:HH This should be moved back into languageNative project '
Gradle,IMPLEMENTATION,'//  TODO make this work with pending elements'
Gradle,DESIGN,'//  TODO: Ultimately this should be some kind of 3rd party dependency that\'s visible to dependency management.'
Gradle,DESIGN,'//  TODO: These should come from somewhere else probably '
Gradle,DESIGN,'//  TODO: This should become smarter and move into the compiler infrastructure instead     of the task similar to how the other native languages are done.     For now this does a rudimentary incremental build analysis by looking at     which files changed . '
Gradle,DESIGN,'/*  * A minimal resolver which does not use any native services. Used during bootstrap only. You should generally use {@link FileResolver} instead. * * TODO - share more stuff with AbstractFileResolver.  */'
Gradle,DESIGN,'// a list instance is needed here as org.gradle.internal.snapshot.ValueSnapshotter.processValue() does not support  serializing Iterators directly '
Gradle,IMPLEMENTATION,'//  TODO:lptr this should be added only if the scan plugin is applied but SnapshotTaskInputsOperationIntegrationTest   TODO:lptr expects it to be added also when the build cache is enabled (but not the scan plugin) '
Gradle,DESIGN,'//  TODO: We should set this for macOS but this currently breaks XCTest support for Swift   when Swift depends on C++ libraries built by Gradle. '
Gradle,DESIGN,'//  TODO:lptr When we drop Java 8 support we can switch to using ClassLoader.getName() instead of storing our own'
Gradle,DESIGN,'//  TODO: Provide an abstraction for accessing resources within the same module (maven-metadata directory listing etc)   That way we can avoid passing `ivyPatterns` and `artifactPatterns` around everywhere '
Gradle,IMPLEMENTATION,'//  TODO:instant-execution - remove kotlin predicate after updating the wrapper'
Gradle,DESIGN,'/*      * Closes the tooling API releasing all resources. Blocks until completed.     *     * <p>May attempt to expire some or all daemons started by this tooling API client. The exact behaviour here is implementation-specific and not guaranteed.     * The expiration is best effort only. This method may return before the daemons have stopped.</p>     *     * <p>Note: this is not yet part of the public tooling API yet.</p>     *     * TODO - need to model this as a long running operation and allow stdout stderr and progress listener to be supplied.     * TODO - need to define exceptions.     * TODO - no further operations are allowed after this has been called     * TODO - cancel current operations or block until complete     * TODO - introduce a \'tooling API client\' interface and move this method there      */'
Gradle,DESIGN,'//  TODO LD use something more stable than a cast here '
Gradle,DESIGN,'//  TODO: Make this more intelligent by matching the attributes of the runtime usage on the variant identities '
Gradle,DESIGN,'//  Workaround for backwards compatibility. Previously this case would unintentionally cause the method to be invoked on the owner   continue below '
Gradle,DESIGN,'//  TODO - capitalise the target name in the task name   TODO - don\'t create a launch target for a library '
Gradle,DESIGN,'/*      * Create binaries for test suites. TODO: This should really be a @ComponentBinaries rule but at this point we have no clue what the concrete binary type is so everything has to be duplicated in     * specific plugins. See usages for example.      */'
Gradle,DESIGN,'//  Did we already consider it as an output after the previous execution? '
Gradle,DESIGN,'//  TODO: To get rid of this we need a `FunctionalSourceSet` instance here and that\'s surprisingly difficult to get. '
Gradle,DESIGN,'//  TODO generic model related super exception? '
Gradle,DESIGN,'//  TODO - this should work for any build rather than just an included build '
Gradle,DESIGN,'//  Workaround for https://issues.gradle.org/browse/GRADLE-2625 '
Gradle,DESIGN,'//  TODO: We basically don\'t support copying custom Javadoc options'
Gradle,DESIGN,"'//  TODO: This exists because we detect all available native tool chains on a system (clang gcc swiftc msvc).     Many of our old tests assume that available tool chains can compile many/most languages so they do not try to   restrict the required set of tool chains.     The swiftc tool chain can build _only_ Swift so tests that expect to use the swiftc tool chain properly annotate   their requirements with ToolChainRequirement.SWIFTC (or a version-specific requirement).     Our multi-test runner is smart enough to disable tests that do not meet the test\'s requirements but since many   of the old tests do not have requirements we assume the tests require a \""C\"" like tool chain (GCC Clang MSVC).     In the future... we want to go back to old tests and annotate them with tool chains requirements.'"
Gradle,DESIGN,'// we don\'t handle Variables at the moment because users didn\'t request it yet  and it would probably push us to add support in the tooling api to retrieve the variable mappings.'
Gradle,DESIGN,'//  TODO: VersionSelector should be more descriptive so it can be directly translated '
Gradle,DESIGN,'//  TODO:LPTR Should be a content-less @InputDirectory '
Gradle,DESIGN,'//  TODO Need a smarter way to map usage to artifact classifier '
Gradle,DESIGN,'/*      * TODO once source compatibility is raised to 1.7 this should be rewritten using the java.nio.FileSystem API     * which can deal with jars and folders the same way instead of duplicating code.      */'
Gradle,DESIGN,'//  TODO - better exception '
Gradle,DEFECT,'// TODO SF this method accepts Closure instance as parameter but does not work correctly for it '
Gradle,DESIGN,'//  TODO find a better way to present this information in the error message   Attempt to mimic Gradle nested exception output '
Gradle,DESIGN,'//  TODO: we should really find a better solution for this...   maybe we could use a FilterReader instead of a FilterInputStream? '
Gradle,DESIGN,'//  not fully accurate but a sensible fallback   see http://stackoverflow.com/questions/1288102/how-do-i-detect-whether-the-file-system-is-case-sensitive '
Gradle,DESIGN,'//  TODO not sure if we can clean up the generics here and do less unchecked casting '
Gradle,DESIGN,'//  TODO - deal with more than one header dir e.g. generated public headers '
Gradle,DESIGN,'//  TODO: projectDependency should be transformed based on defaultProject (and other context) elsewhere. '
Gradle,DESIGN,'//  TODO: This will have to be changed when we support setting credentials directly on the authentication '
Gradle,IMPLEMENTATION,'//  TODO: this is an approximation as we know swift currently supports only 64-bit runtimes - eventually we\'ll want to query for this '
Gradle,DESIGN,'// TODO the async work tracker should wait for children of an operation to finish first.  It should not be necessary to call it here. '
Gradle,DESIGN,'//  TODO - reduce duplication with C++ binary '
Gradle,DESIGN,'//  TODO: This should be more specific to just the tasks that create the class files? '
Gradle,DESIGN,'//  TODO: we aren\'t considering the filter '
Gradle,DESIGN,'//  Send a end-of-line. This is a workaround to convince the console that the cursor is at the start of the line to avoid indenting the next line of text that is displayed   It would be better for the console to listen for stuff read from stdin that would also be echoed to the output and update its state based on this'
Gradle,DEFECT,'//  TODO - exception when type cannot be created '
Gradle,IMPLEMENTATION,'//  TODO bind with the sourceCompatibility property   TODO link to runtime configuration ? '
Gradle,DESIGN,'//  We track this as an input since the Scala compiler output may depend on it.   TODO: This should be replaced by a property in the Scala toolchain as soon as we model these. '
Gradle,DESIGN,'//  TODO:LPTR Instead of the first view property we should figure out these parameters from the actual property '
Gradle,DOCUMENTATION,'//  TODO - DSL documentation? '
Gradle,TEST,'//  TODO We can probably now support more versions with `strictly` but we\'ll need more test coverage '
Gradle,DESIGN,'//  TODO: move this to ObjectFactory '
Gradle,DESIGN,'// there are some exceptions attached to the suite. Let\'s make sure they are reported to the user.  this may happen for example when suite initialisation fails and no tests are executed '
Gradle,IMPLEMENTATION,'//  TODO: Does a static library have runtime elements? '
Gradle,IMPLEMENTATION,'//  TODO:LPTR This ignores changes to Project.buildDir after model node has been created'
Gradle,DESIGN,'//  TODO:LPTR Remove projection for reference node   This shouldn\'t be needed but if there\'s no actual value referenced model report can only   show the type of the node if we do this for now. It should use the schema instead to find '
Gradle,IMPLEMENTATION,'//  TODO: what if this errors? '
Gradle,DESIGN,'//  TODO:instant-execution - remove this '
Gradle,DESIGN,'//  TODO: remove this special case '
Gradle,DESIGN,'//  Need to move those implicit JVM args that contain a space to the Gradle command-line (if possible)   Note that this isn\'t strictly correct as some system properties can only be set on JVM start up.   Should change the implementation to deal with these properly'
Gradle,DESIGN,'//  Doesn\'t really make sense '
Gradle,DESIGN,"'// \""type-only model reference of type \'\%s\'\%s is ambiguous as multiple model elements are available for this type:\%n  \%s (created by \%s)\%n  \%s (created by \%s)\""'"
Gradle,DOCUMENTATION,'//  TODO - exceptions thrown here should point to some extensive documentation on the concept of class rule sources '
Gradle,DESIGN,'// (SF) this is a workaround until this story is completed. I\'m hardcoding setting the idle timeout to be max X mins.  this way we avoid potential runaway daemons that steal resources on linux and break builds on windows.'
Gradle,DESIGN,"'//  TODO - move this to a base plugin   Setup the dependency on the main binary   This should all be replaced by a single dependency that points at some \""testable\"" variants of the main binary '"
Gradle,DESIGN,'//  TODO - should we support this?   Adds a void $propName(Object value) method that simply delegates to the converting setter method '
Gradle,DESIGN,'//  TODO: Send a message to workers to change their log level rather than stopping '
Gradle,DESIGN,'//  TODO - this should also be using the decorating instantiator but cannot for backwards compatibility '
Gradle,DESIGN,'//  TODO - visit the contents of this collection instead.   This is just a super simple implementation for now '
Gradle,DESIGN,'//  TODO We should get rid of this reflection (will need to reimplement the parser to act on the metadata directly) '
Gradle,DESIGN,'//  TODO: do we want to keep using SourceDirectorySet in the new API?   would feel more natural if dirs could be added directly to LanguageSourceSet   could also think about extending SourceDirectorySet '
Gradle,DESIGN,'//  TODO:LPTR This should be removed once BinaryContainer is a ModelMap   We need to also implement all the interfaces of the delegate type because otherwise   BinaryContainer won\'t recognize managed binaries as BinarySpecInternal'
Gradle,DESIGN,'//  todo - stream serialised value to file   todo - handle hash collisions (properly this time)   todo - don\'t store null links to child blocks in leaf index blocks   todo - align block boundaries   todo - thread safety control   todo - merge small values into a single data block   todo - discard when file corrupt   todo - include data directly in index entry when serializer can guarantee small fixed sized data   todo - free list leaks disk space   todo - merge adjacent free blocks   todo - use more efficient lookup for free block with nearest size '
Gradle,DESIGN,'//  This is a workaround for https://issues.gradle.org/browse/GRADLE-3324.   Somehow the ArrayList \'result\' in `org.sonatype.aether.impl.internal.Utils#sortMetadataGeneratorFactories` ends up   being a list of nulls on windows and IBM\'s 1.6 JDK.'
Gradle,DESIGN,'//  TODO - binaries aren\'t an input to this rule they\'re an input to the action '
Gradle,DESIGN,'/*  * Specifies how to build and where to place a native executable file. * * <p>TODO:HH resolve naming conflict with existing NativeExecutableSpec</p>  */'
Gradle,DESIGN,'//  This should be replaced by some stronger modelling and made open rather than hardcoding a set of source languages here '
Gradle,DESIGN,'//  We moved the API back into internal so this isn\'t really correct. '
Gradle,TEST,'//  TODO - refactor this action out so it can be unit tested '
Gradle,IMPLEMENTATION,'//  TODO - error if there are unknowns? '
Gradle,DESIGN,'//  TODO:ADAM - using a UUID means we create a ClassLoader hierarchy for each daemon process we talk to. Instead use the spec to decide whether to reuse a ClassLoader '
Gradle,DESIGN,'//  TODO - should supply and check for the same parameters as passed to reserveNewClient() '
Gradle,DESIGN,'//  TODO - should use the _install_ task for an executable '
Gradle,IMPLEMENTATION,"'//  Implement this if you need to specify individual toolchains via \""org.gradle.integtest.versions\"" '"
Gradle,IMPLEMENTATION,'//  todo annotate as required '
Gradle,DESIGN,'//  TODO: CC cannot enable this assertion because moduleSource is not serialized so doesn\'t appear in the deserialized form  assert metadata.equals(forceRead);'
