projectname,package,top_package,comment,classification
Dubbo,Dubbo,Dubbo,'/*  * This class represents an unfinished RPC call, it will hold some context information for this call, for example RpcContext and Invocation, * so that when the call finishes and the result returns, it can guarantee all the contexts being recovered as the same as when the call was made * before any callback is invoked. * <p> * TODO if it\'s reasonable or even right to keep a reference to Invocation? * <p> * As {@link Result} implements CompletionStage, {@link AsyncRpcResult} allows you to easily build a async filter chain whose status will be * driven entirely by the state of the underlying RPC call. * <p> * AsyncRpcResult does not contain any concrete value (except the underlying value bring by CompletableFuture), consider it as a status transfer node. * {@link #getValue()} and {@link #getException()} are all inherited from {@link Result} interface, implementing them are mainly * for compatibility consideration. Because many legacy {@link Filter} implementation are most possibly to call getValue directly.  */',DESIGN
Dubbo,Dubbo,Dubbo,'//  FIXME should put exception in future? ',DESIGN
Dubbo,Dubbo,Dubbo,'//  DUBBO-571 methods key in provider\'s URLONE doesn\'t contain the methods from inherited super interface ',DESIGN
Dubbo,Dubbo,Dubbo,'/*  * ContextFilterTest.java * TODO need to enhance assertion  */',IMPLEMENTATION
Dubbo,Dubbo,Dubbo,'//  FIXME: this code looks useless ',DESIGN
Dubbo,Dubbo,Dubbo,'//  TODO due to dubbo\'s current architecture,   it will be called from registry protocol in the shutdown process and won\'t appear in logs ',DESIGN
Dubbo,Dubbo,Dubbo,'//  TODO can we load successfully for a different classloader?. ',DESIGN
Dubbo,Dubbo,Dubbo,'// The status input has a problem, and the read information is wrong when the serialization is serialized. ',DEFECT
Dubbo,Dubbo,Dubbo,'//  FIXME: not sure why AbstractReferenceConfig has both isGeneric and getGeneric ',DESIGN
Dubbo,Dubbo,Dubbo,'//  FIXME result is an AsyncRpcResult instance. ',DEFECT
Dubbo,Dubbo,Dubbo,'//  FIXME, should cancel and restart timer tasks if parameters in the new URL are different? ',DESIGN
Dubbo,Dubbo,Dubbo,'/*  * TODO Extract more code here if necessary  */',IMPLEMENTATION
Dubbo,Dubbo,Dubbo,'//  FIXME RMI protocol doesn\'t support casting to EchoService yet. ',DESIGN
Dubbo,Dubbo,Dubbo,'//  dubbo\'s original impl can\'t support the use of ServletContext          server.addHandler(servletHandler); ',DESIGN
Dubbo,Dubbo,Dubbo,'//  Deprecated! Subscribe to override rules in 2.6.x or before. ',DESIGN
Dubbo,Dubbo,Dubbo,'//  Subscribe the override data   FIXME When the provider subscribes, it will affect the scene : a certain JVM exposes the service and call    the same service. Because the subscribed is cached key with the name of the service, it causes the ',DESIGN
Dubbo,Dubbo,Dubbo,'/*      * Should be called after Config was fully initialized.     * // FIXME: this method should be completely replaced by appendParameters     *     * @return     * @see AbstractConfig#appendParameters(Map, Object, String)     * <p>     * Notice! This method should include all properties in the returning map, treat @Parameter differently compared to appendParameters.      */',DESIGN
Dubbo,Dubbo,Dubbo,'// TODO Can the value returned by getChannel() be null? need improvement. ',DESIGN
Dubbo,Dubbo,Dubbo,'//  TODO, to support wildcards ',IMPLEMENTATION
Dubbo,Dubbo,Dubbo,'//  FIXME: cannot guarantee the sequence of the merge result, check implementation in   MergeableClusterInvoker#invoke ',DEFECT
Dubbo,Dubbo,Dubbo,'//  FIXME Is there any need of failing back to Constants.ANY_VALUE or the first available method invokers when invokers is null? ',DEFECT
Dubbo,Dubbo,Dubbo,'//  TODO more configs to add ',IMPLEMENTATION
Dubbo,Dubbo,Dubbo,'//  BuG: DUBBO-146 Provider doesn\'t have exception output, and consumer has timeout error when serialization fails',DEFECT
Dubbo,Dubbo,Dubbo,'//  FIXME There\'s no place to release connectionExecutor! ',DESIGN
Dubbo,Dubbo,Dubbo,'//  TODO: refactor it ',DESIGN
Dubbo,Dubbo,Dubbo,'/*  * TODO this may not be a pretty elegant solution, *  */',DESIGN
Dubbo,Dubbo,Dubbo,'//  FIXME log error info in Codec and put all error handle logic in IoHanndler? ',IMPLEMENTATION
Dubbo,Dubbo,Dubbo,'//  can\'t shutdown nioEventLoopGroup because the method will be invoked when closing one channel but not a client,   but when and how to close the nioEventLoopGroup ?   nioEventLoopGroup.shutdownGracefully(); ',DESIGN
Dubbo,Dubbo,Dubbo,'/*  * FIXME: is this really necessary? PropertiesConfiguration should have already covered this: * @see PropertiesConfiguration * @See ConfigUtils#getProperty(String)  */',DESIGN
Dubbo,Dubbo,Dubbo,'/*      * the resident routers must being initialized before address notification.     * FIXME: this method should not be public      */',DESIGN
Dubbo,Dubbo,Dubbo,'//  TODO there may have duplicate refresh ',DESIGN
Dubbo,Dubbo,Dubbo,'// fixme replace this with better method ',DESIGN
Dubbo,Dubbo,Dubbo,'//  TODO for now we don\'t consider the differences of encoding and server limit ',DESIGN
Dubbo,Dubbo,Dubbo,'/*      * FIXME check @Parameter(required=true) and any conditions that need to match.      */',DESIGN
Dubbo,Dubbo,Dubbo,'/*           RMI needs extra parameter since it uses customized remote invocation object          The customized RemoteInvocation was firstly introduced in v2.6.3; The package was renamed to \'org.apache.*\' since v2.7.0          Considering the above two conditions, we need to check before sending customized RemoteInvocation:          1. if the provider version is v2.7.0 or higher, send \'org.apache.dubbo.rpc.protocol.rmi.RmiRemoteInvocation\'.          2. if the provider version is v2.6.3 or higher, send \'com.alibaba.dubbo.rpc.protocol.rmi.RmiRemoteInvocation\'.          3. if the provider version is lower than v2.6.3, does not use customized RemoteInvocation.          */',DESIGN
Dubbo,Dubbo,Dubbo,'//  TODO exist concurrent gap ',IMPLEMENTATION
Dubbo,Dubbo,Dubbo,'//  TODO: 2017/8/31 FIXME The thread pool should be used to refresh the address, otherwise the task may be accumulated. ',DESIGN
Dubbo,Dubbo,Dubbo,'/*      * If there\'s no dynamic tag rule being set, use static tag in URL.     * <p>     * A typical scenario is a Consumer using version 2.7.x calls Providers using version 2.6.x or lower,     * the Consumer should always respect the tag in provider URL regardless of whether a dynamic tag rule has been set to it or not.     * <p>     * TODO, to guarantee consistent behavior of interoperability between 2.6- and 2.7+, this method should has the same logic with the TagRouter in 2.6.x.     *     * @param invokers     * @param url     * @param invocation     * @param <T>     * @return      */',DESIGN
Gradle,Gradle,Gradle,'//  TODO this should not be using the default charset because it\'s not an input and might introduce flakiness ',DESIGN
Gradle,Gradle,Gradle,'//  TODO Make this work with pending elements',IMPLEMENTATION
Gradle,Gradle,Gradle,'/*  * The DSL for declaring plugins to inject into an included build. * * TODO: Plugins need to be located in this build\'s buildSrc. * * @since 4.6  */',DESIGN
Gradle,Gradle,Gradle,'//  TODO some kind of context of why the method was attached (e.g. which plugin declared the rule)   TODO some kind of instance state for the method (might be the same as context above) ',DESIGN
Gradle,Gradle,Gradle,'//  TODO: Need to track version/implementation of symbol strip tool. ',IMPLEMENTATION
Gradle,Gradle,Gradle,'// TODO move to base-services once the ProgressLogger dependency is removed',DESIGN
Gradle,Gradle,Gradle,'//  Return a dummy implementation of this as creating a real hasher drags ~20 more services   along with it, and a hasher isn\'t actually needed on the worker process side at the moment. ',DESIGN
Gradle,Gradle,Gradle,'//  there\'s a risk, for some methods, that the hash is always   recomputed but it won\'t be worse than before ',DESIGN
Gradle,Gradle,Gradle,'//  This isn\'t quite right. Should close the worker classpath cache once we\'re finished with the worker processes. This may be before the end of this build   or they may be used across multiple builds ',DESIGN
Gradle,Gradle,Gradle,'//  TODO Need a better mechanism to wire tasks into lifecycle ',DESIGN
Gradle,Gradle,Gradle,'//  TODO:Cedric This is not quite right. We assume that if we are asking for a specific binary, then we resolve to the assembly instead   of the jar, but it should be somehow parameterized ',DESIGN
Gradle,Gradle,Gradle,'//  Ensure that at most one action that may have access to the mutable state of the build runs at a given time   TODO - move this to a better home and reuse ',DESIGN
Gradle,Gradle,Gradle,'//  TODO(ew): inject BuildOperationIdentifierRegistry instead of static use',DESIGN
Gradle,Gradle,Gradle,'//  TODO:HH Use managed views for this, only applied when the respective language is applied',DESIGN
Gradle,Gradle,Gradle,'//  TODO: There has to be a simpler way to do this.   We want to create a buildable filecollection based on a filtered view of selected source directory sets ',DESIGN
Gradle,Gradle,Gradle,'//  Passing null for sha1 - TODO - consider using the etag which is an MD5 hash of the file (when less than 5Gb) ',DESIGN
Gradle,Gradle,Gradle,'//  TODO:ADAM - need to do this earlier ',DESIGN
Gradle,Gradle,Gradle,'//  TODO - exception when no default type ',DESIGN
Gradle,Gradle,Gradle,'//  Don\'t force evaluation of rules here, let the task container do what it needs to',DESIGN
Gradle,Gradle,Gradle,'//  result is a scala.util.Either   right is a Seq of files that were generated   left is routes compilation errors   TODO: It might be nice to pass along these errors in some way ',DESIGN
Gradle,Gradle,Gradle,'//  TODO deleteOnExit won\'t clean up non-empty directories (and it leaks memory for long-running processes). ',DESIGN
Gradle,Gradle,Gradle,'/*  * Meta-info about a Java component. * * TODO - this is some legacy stuff, to be merged into other component interfaces  */',DESIGN
Gradle,Gradle,Gradle,'//  TODO: Need to track version/implementation of symbol extraction tool. ',IMPLEMENTATION
Gradle,Gradle,Gradle,'//  TODO: This should be modeled differently, perhaps as a dependency on the implementation configuration ',DESIGN
Gradle,Gradle,Gradle,'//  This is not super nice, but dependencies are created through reflection, for decoration   and assume a constructor with 3 arguments (Group, Name, Version) which is suitable for   most cases. We could create an empty attribute set directly in the AbstractDependencyImpl,   but then it wouldn\'t be mutable. Therefore we proceed with \"late injection\" of the attributes ',DESIGN
Gradle,Gradle,Gradle,'//  TODO(ew): Consider whether this belongs in Console or here',DESIGN
Gradle,Gradle,Gradle,'//  TODO - should split this up, so that the inputs are attached to an object that represents the binary, which is then later used to configure the link/assemble tasks ',DESIGN
Gradle,Gradle,Gradle,'//  we need to wrap this into a loop, because there\'s always a risk   that the method, which is weakly referenced, has been collected   in between the creation time and now ',DESIGN
Gradle,Gradle,Gradle,'//  TODO(daniel): Should support in a better way multi file invocation. ',DESIGN
Gradle,Gradle,Gradle,'//  It\'s true right now that this is always coming from the TestKit, but might not be in the future.',DEFECT
Gradle,Gradle,Gradle,'//  TODO - don\'t select again here, as the selection is already performed to select the toolchain ',DESIGN
Gradle,Gradle,Gradle,'//  TODO include link to documentation giving more explanation of what\'s going on here. ',DOCUMENTATION
Gradle,Gradle,Gradle,'//  TODO: Migrate this away from here ',IMPLEMENTATION
Gradle,Gradle,Gradle,'//  This looks ugly, very ugly, but that is apparently what Ant does itself ',DESIGN
Gradle,Gradle,Gradle,'//  TODO - should be incremental ',DESIGN
Gradle,Gradle,Gradle,'//  TODO: this is terrible ',DESIGN
Gradle,Gradle,Gradle,'//  TODO: This should actually be a Routable message with a single handler,   but we need some way to correlate a given request with a specific response channel ',DESIGN
Gradle,Gradle,Gradle,'//  TODO - this is pretty nasty, look at avoiding using a time bomb stub here ',IMPLEMENTATION
Gradle,Gradle,Gradle,'// TODO:rbo Change the parameter type to `Transformer<String, @Nullable String>` once we migrate to Java 8',DESIGN
Gradle,Gradle,Gradle,'// TODO - make this work on windows  originalIn.close();',IMPLEMENTATION
Gradle,Gradle,Gradle,'//  TODO better exception type ',DESIGN
Gradle,Gradle,Gradle,'//  Note: This would be better housed in a scope that encapsulated the tree of Gradle objects. ',DESIGN
Gradle,Gradle,Gradle,'/*  * A {@link org.gradle.api.file.ConfigurableFileCollection} that can be used as a task input property. Caches the matching set of files during task execution, and discards the result after task execution. * * TODO - disallow further changes to this collection once task has started * TODO - keep the file entries to snapshot later, to avoid a stat on each file during snapshot  */',DESIGN
Gradle,Gradle,Gradle,'//  TODO This class, DefaultBuildOperationQueue and ExecutionPlan have many of the same   behavior and concerns - we should look for a way to generalize this pattern. ',DESIGN
Gradle,Gradle,Gradle,'// TODO:instant-execution: remove this ',DESIGN
Gradle,Gradle,Gradle,'//  Can only set once: should really be part of the constructor   Can only set once: should really be part of the constructor',DESIGN
Gradle,Gradle,Gradle,'//  This isn\'t quite right, as we may lose precision when converting to a double ',DESIGN
Gradle,Gradle,Gradle,'//  decimalFormat is not thread safe - synchronize access to the instance ',DEFECT
Gradle,Gradle,Gradle,'//  TODO - wire this stuff in properly ',DESIGN
Gradle,Gradle,Gradle,'//  TODO:ADAM - need to cleanup completion too, if not used ',DESIGN
Gradle,Gradle,Gradle,'//  TODO: Need to check for proper type/cast ',IMPLEMENTATION
Gradle,Gradle,Gradle,'//  TODO - should use a resolver so that this method is consistent with Project.uri(string) ',DESIGN
Gradle,Gradle,Gradle,'//  TODO wolfs - schedule fingerprinting separately, it can be done without having the project lock ',DESIGN
Gradle,Gradle,Gradle,'//  Note: don\'t actually remove this in 6.0, the deprecation is here to encourage people to use ObjectFactory instead. Just remove the overload and the nag and leave the method here',DESIGN
Gradle,Gradle,Gradle,'//  todo: consider multithreading/multiprocess issues   Teamcity has the concept of a \"wave\" of messages   where each thread/process uses a unique wave id ',DESIGN
Gradle,Gradle,Gradle,'//  TODO - reduce duplication with Swift binary ',DESIGN
Gradle,Gradle,Gradle,'// TODO: move bootclasspath to platform ',DESIGN
Gradle,Gradle,Gradle,'//  TODO: This should be modeled as a source set ',DESIGN
Gradle,Gradle,Gradle,'//  TODO - the project model should be reachable from ProjectState without another lookup ',DESIGN
Gradle,Gradle,Gradle,'//  TODO: Locate this tool from a tool provider   hide main symbol ',IMPLEMENTATION
Gradle,Gradle,Gradle,'//  TODO: This prefix shouldn\'t be hardcoded ',DESIGN
Gradle,Gradle,Gradle,'//  TODO:LPTR Remove projection for reference node   This shouldn\'t be needed, but if there\'s no actual value referenced, model report can only   show the type of the node if we do this for now. It should use the schema instead to find   the type of the property node instead. ',DESIGN
Gradle,Gradle,Gradle,'//  TODO:ADAM - switch the logging back on. Need to make sending messages from daemon to client async wrt log event generation                  LOGGER.debug(\"Ignoring failure to extract throwable stack trace.\", ignored); ',DESIGN
Gradle,Gradle,Gradle,'//  TODO: Need failure handling, e.g., cannot clone repository ',IMPLEMENTATION
Gradle,Gradle,Gradle,'//  TODO This should actually compare a SortedSet ',DESIGN
Gradle,Gradle,Gradle,'//  TODO - validate that it\'s a valid model path ',IMPLEMENTATION
Gradle,Gradle,Gradle,'//  The visual C++ tools use the path to find other executables   TODO:ADAM - restrict this to the specific path for the target tool ',IMPLEMENTATION
Gradle,Gradle,Gradle,'//  TODO:pm Move this to WARN level once we fixed maven-publish, see gradle/gradle#1662 ',DESIGN
Gradle,Gradle,Gradle,'//  TODO:ADAM - This isn\'t quite right   MB: I think ^ refers to the first capable classloader loading the class. This could be different   from the loader which originally loaded it, which could pose equality and lifecycle issues. ',DESIGN
Gradle,Gradle,Gradle,'//  TODO:Cedric This is an approximation: when a component wants to compile against the assembly of   a library (not the jar), then we should give it the *stubbed classes* instead of the raw classes. However:   - there\'s no such thing as a \"stubbed classes assembly\"   - for performance reasons only the classes that belong to the API are stubbed, so we would miss the classes that do not belong to the API   So this makes the UsageKind.API misleading (should this be COMPILE?).',DESIGN
Gradle,Gradle,Gradle,'/*  * An _immutable_ view of the variant of a component. * * TODO - this should replace or merge into VariantResolveMetadata, OutgoingVariant, ConfigurationMetadata  */',DESIGN
Gradle,Gradle,Gradle,'//  because it\'s a capability conflict resolution, there is only one candidate per module identifier   so we can be lenient wrt the version number used in the descriptor, which helps whenever the user   used the convenience \"notation\" method ',DESIGN
Gradle,Gradle,Gradle,'//  TODO improve lookup by reusing AvailableJavaHomes testfixture   for now we play it safe and just return false; ',DESIGN
Gradle,Gradle,Gradle,'//  TODO - should decorate ',DESIGN
Gradle,Gradle,Gradle,'//  TODO removing this stuff from the store should be handled through some sort of decoration ',DESIGN
Gradle,Gradle,Gradle,'//  TODO: fix the way we work out which exception is important: TaskExecutionException is not always the most helpful',DEFECT
Gradle,Gradle,Gradle,'//  TODO: do we need any factories here? ',IMPLEMENTATION
Gradle,Gradle,Gradle,'//  TODO:HH This should be moved back into languageNative project ',DESIGN
Gradle,Gradle,Gradle,'//  TODO make this work with pending elements',IMPLEMENTATION
Gradle,Gradle,Gradle,'//  TODO: Ultimately, this should be some kind of 3rd party dependency that\'s visible to dependency management.',DESIGN
Gradle,Gradle,Gradle,'//  TODO: These should come from somewhere else, probably ',DESIGN
Gradle,Gradle,Gradle,'//  TODO: This should become smarter and move into the compiler infrastructure instead     of the task, similar to how the other native languages are done.     For now, this does a rudimentary incremental build analysis by looking at     which files changed . ',DESIGN
Gradle,Gradle,Gradle,'/*  * A minimal resolver, which does not use any native services. Used during bootstrap only. You should generally use {@link FileResolver} instead. * * TODO - share more stuff with AbstractFileResolver.  */',DESIGN
Gradle,Gradle,Gradle,'// a list instance is needed here, as org.gradle.internal.snapshot.ValueSnapshotter.processValue() does not support  serializing Iterators directly ',DESIGN
Gradle,Gradle,Gradle,'//  TODO:lptr this should be added only if the scan plugin is applied, but SnapshotTaskInputsOperationIntegrationTest   TODO:lptr expects it to be added also when the build cache is enabled (but not the scan plugin) ',IMPLEMENTATION
Gradle,Gradle,Gradle,'//  TODO: We should set this for macOS, but this currently breaks XCTest support for Swift   when Swift depends on C++ libraries built by Gradle. ',DESIGN
Gradle,Gradle,Gradle,'//  TODO:lptr When we drop Java 8 support we can switch to using ClassLoader.getName() instead of storing our own',DESIGN
Gradle,Gradle,Gradle,'//  TODO: Provide an abstraction for accessing resources within the same module (maven-metadata, directory listing, etc)   That way we can avoid passing `ivyPatterns` and `artifactPatterns` around everywhere ',DESIGN
Gradle,Gradle,Gradle,'//  TODO:instant-execution - remove kotlin predicate after updating the wrapper',IMPLEMENTATION
Gradle,Gradle,Gradle,'/*      * Closes the tooling API, releasing all resources. Blocks until completed.     *     * <p>May attempt to expire some or all daemons started by this tooling API client. The exact behaviour here is implementation-specific and not guaranteed.     * The expiration is best effort only. This method may return before the daemons have stopped.</p>     *     * <p>Note: this is not yet part of the public tooling API yet.</p>     *     * TODO - need to model this as a long running operation, and allow stdout, stderr and progress listener to be supplied.     * TODO - need to define exceptions.     * TODO - no further operations are allowed after this has been called     * TODO - cancel current operations or block until complete     * TODO - introduce a \'tooling API client\' interface and move this method there      */',DESIGN
Gradle,Gradle,Gradle,'//  TODO LD use something more stable than a cast here ',DESIGN
Gradle,Gradle,Gradle,'//  TODO: Make this more intelligent by matching the attributes of the runtime usage on the variant identities ',DESIGN
Gradle,Gradle,Gradle,'//  Workaround for backwards compatibility. Previously, this case would unintentionally cause the method to be invoked on the owner   continue below ',DESIGN
Gradle,Gradle,Gradle,'//  TODO - capitalise the target name in the task name   TODO - don\'t create a launch target for a library ',DESIGN
Gradle,Gradle,Gradle,'/*      * Create binaries for test suites. TODO: This should really be a @ComponentBinaries rule, but at this point we have no clue what the concrete binary type is, so everything has to be duplicated in     * specific plugins. See usages for example.      */',DESIGN
Gradle,Gradle,Gradle,'//  Did we already consider it as an output after the previous execution? ',DESIGN
Gradle,Gradle,Gradle,'//  TODO: To get rid of this, we need a `FunctionalSourceSet` instance here, and that\'s surprisingly difficult to get. ',DESIGN
Gradle,Gradle,Gradle,'//  TODO generic model related super exception? ',DESIGN
Gradle,Gradle,Gradle,'//  TODO - this should work for any build, rather than just an included build ',DESIGN
Gradle,Gradle,Gradle,'//  Workaround for https://issues.gradle.org/browse/GRADLE-2625 ',DESIGN
Gradle,Gradle,Gradle,'//  TODO: We basically don\'t support copying custom Javadoc options',DESIGN
Gradle,Gradle,Gradle,'//  TODO: This exists because we detect all available native tool chains on a system (clang, gcc, swiftc, msvc).     Many of our old tests assume that available tool chains can compile many/most languages, so they do not try to   restrict the required set of tool chains.     The swiftc tool chain can build _only_ Swift, so tests that expect to use the swiftc tool chain properly annotate   their requirements with ToolChainRequirement.SWIFTC (or a version-specific requirement).     Our multi-test runner is smart enough to disable tests that do not meet the test\'s requirements, but since many   of the old tests do not have requirements, we assume the tests require a \"C\" like tool chain (GCC, Clang, MSVC).     In the future... we want to go back to old tests and annotate them with tool chains requirements.',DESIGN
Gradle,Gradle,Gradle,'// we don\'t handle Variables at the moment because users didn\'t request it yet  and it would probably push us to add support in the tooling api to retrieve the variable mappings.',DESIGN
Gradle,Gradle,Gradle,'//  TODO: VersionSelector should be more descriptive, so it can be directly translated ',DESIGN
Gradle,Gradle,Gradle,'//  TODO:LPTR Should be a content-less @InputDirectory ',DESIGN
Gradle,Gradle,Gradle,'//  TODO Need a smarter way to map usage to artifact classifier ',DESIGN
Gradle,Gradle,Gradle,'/*      * TODO once source compatibility is raised to 1.7, this should be rewritten using the java.nio.FileSystem API,     * which can deal with jars and folders the same way instead of duplicating code.      */',DESIGN
Gradle,Gradle,Gradle,'//  TODO - better exception ',DESIGN
Gradle,Gradle,Gradle,'// TODO SF this method accepts Closure instance as parameter but does not work correctly for it ',DEFECT
Gradle,Gradle,Gradle,'//  TODO find a better way to present this information in the error message   Attempt to mimic Gradle nested exception output ',DESIGN
Gradle,Gradle,Gradle,'//  TODO: we should really find a better solution for this...   maybe we could use a FilterReader instead of a FilterInputStream? ',DESIGN
Gradle,Gradle,Gradle,'//  not fully accurate but a sensible fallback   see http://stackoverflow.com/questions/1288102/how-do-i-detect-whether-the-file-system-is-case-sensitive ',DESIGN
Gradle,Gradle,Gradle,'//  TODO not sure if we can clean up the generics here and do less unchecked casting ',DESIGN
Gradle,Gradle,Gradle,'//  TODO - deal with more than one header dir, e.g. generated public headers ',DESIGN
Gradle,Gradle,Gradle,'//  TODO: projectDependency should be transformed based on defaultProject (and other context) elsewhere. ',DESIGN
Gradle,Gradle,Gradle,'//  TODO: This will have to be changed when we support setting credentials directly on the authentication ',DESIGN
Gradle,Gradle,Gradle,'//  TODO: this is an approximation as we know swift currently supports only 64-bit runtimes - eventually, we\'ll want to query for this ',IMPLEMENTATION
Gradle,Gradle,Gradle,'// TODO the async work tracker should wait for children of an operation to finish first.  It should not be necessary to call it here. ',DESIGN
Gradle,Gradle,Gradle,'//  TODO - reduce duplication with C++ binary ',DESIGN
Gradle,Gradle,Gradle,'//  TODO: This should be more specific to just the tasks that create the class files? ',DESIGN
Gradle,Gradle,Gradle,'//  TODO: we aren\'t considering the filter ',DESIGN
Gradle,Gradle,Gradle,'//  Send a end-of-line. This is a workaround to convince the console that the cursor is at the start of the line to avoid indenting the next line of text that is displayed   It would be better for the console to listen for stuff read from stdin that would also be echoed to the output and update its state based on this',DESIGN
Gradle,Gradle,Gradle,'//  TODO - exception when type cannot be created ',DEFECT
Gradle,Gradle,Gradle,'//  TODO bind with the sourceCompatibility property   TODO link to runtime configuration ? ',IMPLEMENTATION
